ID,contents,Required_BW,Source,Destinations
7344,3,75,4,10;5
7345,12,57,4,1;0
7346,9,66,9,10;0
7347,14,50,0,5;7
7348,6,76,9,1;4
7349,12,65,4,1;0
7350,1,52,0,1;5
7351,12,58,4,1;0
7352,9,55,9,10;0
7353,3,64,4,10;5
7354,3,75,4,10;5
7355,3,67,4,10;5
7356,6,70,9,1;4
7357,1,68,0,1;5
7358,1,72,0,1;5
7359,14,73,0,5;7
7360,14,80,0,5;7
7361,12,53,4,1;0
7362,9,53,9,10;0
7363,14,72,0,5;7
7364,3,62,4,10;5
7365,3,74,4,10;5
7366,12,59,4,1;0
7367,12,72,4,1;0
7368,1,52,0,1;5
7369,3,72,4,10;5
7370,12,66,4,1;0
7371,6,64,9,1;4
7372,9,57,9,10;0
7373,6,57,9,1;4
7374,6,53,9,1;4
7375,1,68,0,1;5
7376,14,63,0,5;7
7377,12,59,4,1;0
7378,9,73,9,10;0
7379,6,51,9,1;4
7380,9,56,9,10;0
7381,12,73,4,1;0
7382,9,66,9,10;0
7383,9,61,9,10;0
7384,9,61,9,10;0
7385,3,68,4,10;5
7386,12,63,4,1;0
7387,6,71,9,1;4
7388,1,66,0,1;5
7389,14,76,0,5;7
7390,12,68,4,1;0
7391,9,78,9,10;0
7392,3,67,4,10;5
7393,14,58,0,5;7
7394,1,56,0,1;5
7395,6,60,9,1;4
7396,9,67,9,10;0
7397,14,72,0,5;7
7398,9,57,9,10;0
7399,9,55,9,10;0
7400,1,70,0,1;5
7401,6,56,9,1;4
7402,6,62,9,1;4
7403,6,56,9,1;4
7404,6,68,9,1;4
7405,3,61,4,10;5
7406,9,76,9,10;0
7407,14,77,0,5;7
7408,9,68,9,10;0
7409,9,73,9,10;0
7410,12,69,4,1;0
7411,14,63,0,5;7
7412,9,62,9,10;0
7413,12,54,4,1;0
7414,1,58,0,1;5
7415,9,76,9,10;0
7416,1,54,0,1;5
7417,1,70,0,1;5
7418,12,71,4,1;0
7419,14,68,0,5;7
7420,6,62,9,1;4
7421,1,73,0,1;5
7422,3,68,4,10;5
7423,9,53,9,10;0
7424,1,69,0,1;5
7425,9,67,9,10;0
7426,1,78,0,1;5
7427,1,60,0,1;5
7428,12,80,4,1;0
7429,1,54,0,1;5
7430,1,77,0,1;5
7431,6,68,9,1;4
7432,6,70,9,1;4
7433,9,67,9,10;0
7434,6,53,9,1;4
7435,6,51,9,1;4
7436,9,78,9,10;0
7437,9,55,9,10;0
7438,12,65,4,1;0
7439,1,72,0,1;5
7440,3,77,4,10;5
7441,12,72,4,1;0
7442,6,72,9,1;4
7443,1,79,0,1;5
7444,14,63,0,5;7
7445,12,52,4,1;0
7446,9,71,9,10;0
7447,3,75,4,10;5
7448,9,79,9,10;0
7449,3,55,4,10;5
7450,14,71,0,5;7
7451,3,50,4,10;5
7452,14,59,0,5;7
7453,9,63,9,10;0
7454,3,80,4,10;5
7455,6,69,9,1;4
7456,14,72,0,5;7
7457,9,72,9,10;0
7458,3,52,4,10;5
7459,1,55,0,1;5
7460,12,63,4,1;0
7461,12,73,4,1;0
7462,6,55,9,1;4
7463,9,61,9,10;0
7464,12,53,4,1;0
7465,6,80,9,1;4
7466,1,69,0,1;5
7467,3,56,4,10;5
7468,9,67,9,10;0
7469,9,74,9,10;0
7470,6,54,9,1;4
7471,1,67,0,1;5
7472,14,65,0,5;7
7473,3,58,4,10;5
7474,9,61,9,10;0
7475,9,76,9,10;0
7476,14,60,0,5;7
7477,1,59,0,1;5
7478,14,74,0,5;7
7479,14,54,0,5;7
7480,14,78,0,5;7
7481,9,70,9,10;0
7482,14,58,0,5;7
7483,12,68,4,1;0
7484,6,61,9,1;4
7485,9,69,9,10;0
7486,3,79,4,10;5
7487,14,78,0,5;7
7488,6,69,9,1;4
7489,1,57,0,1;5
7490,6,72,9,1;4
7491,9,55,9,10;0
7492,12,60,4,1;0
7493,6,61,9,1;4
7494,14,79,0,5;7
7495,12,80,4,1;0
7496,12,55,4,1;0
7497,1,59,0,1;5
7498,3,58,4,10;5
7499,6,61,9,1;4
7500,9,66,9,10;0
7501,6,73,9,1;4
7502,6,71,9,1;4
7503,1,63,0,1;5
7504,6,57,9,1;4
7505,6,78,9,1;4
7506,9,57,9,10;0
7507,12,52,4,1;0
7508,3,79,4,10;5
7509,12,75,4,1;0
7510,12,71,4,1;0
7511,6,56,9,1;4
7512,6,69,9,1;4
7513,1,74,0,1;5
7514,1,60,0,1;5
7515,1,51,0,1;5
7516,3,66,4,10;5
7517,1,51,0,1;5
7518,1,70,0,1;5
7519,12,71,4,1;0
7520,12,78,4,1;0
7521,9,63,9,10;0
7522,9,73,9,10;0
7523,3,71,4,10;5
7524,14,73,0,5;7
7525,14,52,0,5;7
7526,3,65,4,10;5
7527,6,58,9,1;4
7528,9,67,9,10;0
7529,12,75,4,1;0
7530,14,57,0,5;7
7531,1,76,0,1;5
7532,14,77,0,5;7
7533,6,62,9,1;4
7534,14,68,0,5;7
7535,1,63,0,1;5
7536,14,80,0,5;7
7537,6,76,9,1;4
7538,12,55,4,1;0
7539,6,69,9,1;4
7540,6,63,9,1;4
7541,6,63,9,1;4
7542,14,68,0,5;7
7543,9,70,9,10;0
7544,14,57,0,5;7
7545,9,68,9,10;0
7546,3,67,4,10;5
7547,3,56,4,10;5
7548,12,58,4,1;0
7549,14,67,0,5;7
7550,1,63,0,1;5
7551,1,61,0,1;5
7552,12,52,4,1;0
7553,12,53,4,1;0
7554,6,66,9,1;4
7555,3,68,4,10;5
7556,3,52,4,10;5
7557,1,53,0,1;5
7558,1,54,0,1;5
7559,1,71,0,1;5
7560,1,61,0,1;5
7561,9,63,9,10;0
7562,3,58,4,10;5
7563,6,69,9,1;4
7564,3,67,4,10;5
7565,3,73,4,10;5
7566,3,80,4,10;5
7567,9,71,9,10;0
7568,3,59,4,10;5
7569,9,70,9,10;0
7570,14,63,0,5;7
7571,9,70,9,10;0
7572,14,69,0,5;7
7573,12,78,4,1;0
7574,6,72,9,1;4
7575,6,71,9,1;4
7576,1,70,0,1;5
7577,12,65,4,1;0
7578,9,55,9,10;0
7579,12,79,4,1;0
7580,14,58,0,5;7
7581,6,58,9,1;4
7582,6,53,9,1;4
7583,9,76,9,10;0
7584,1,73,0,1;5
7585,14,60,0,5;7
7586,6,63,9,1;4
7587,6,64,9,1;4
7588,1,62,0,1;5
7589,1,60,0,1;5
7590,9,77,9,10;0
7591,14,66,0,5;7
7592,6,56,9,1;4
7593,6,76,9,1;4
7594,1,75,0,1;5
7595,3,58,4,10;5
7596,12,69,4,1;0
7597,6,69,9,1;4
7598,14,63,0,5;7
7599,1,62,0,1;5
7600,1,60,0,1;5
7601,6,69,9,1;4
7602,9,70,9,10;0
7603,14,79,0,5;7
7604,6,65,9,1;4
7605,1,52,0,1;5
7606,12,50,4,1;0
7607,9,50,9,10;0
7608,12,79,4,1;0
7609,6,71,9,1;4
7610,14,74,0,5;7
7611,12,62,4,1;0
7612,12,80,4,1;0
7613,1,77,0,1;5
7614,9,54,9,10;0
7615,3,59,4,10;5
7616,14,63,0,5;7
7617,3,79,4,10;5
7618,12,52,4,1;0
7619,6,58,9,1;4
7620,3,60,4,10;5
7621,14,80,0,5;7
7622,12,78,4,1;0
7623,6,59,9,1;4
7624,14,61,0,5;7
7625,9,54,9,10;0
7626,3,55,4,10;5
7627,1,50,0,1;5
7628,6,64,9,1;4
7629,3,63,4,10;5
7630,14,72,0,5;7
7631,1,70,0,1;5
7632,6,71,9,1;4
7633,14,69,0,5;7
7634,1,54,0,1;5
7635,9,53,9,10;0
7636,1,71,0,1;5
7637,6,70,9,1;4
7638,12,78,4,1;0
7639,6,61,9,1;4
7640,3,67,4,10;5
7641,9,60,9,10;0
7642,6,55,9,1;4
7643,6,59,9,1;4
7644,6,78,9,1;4
7645,12,50,4,1;0
7646,14,54,0,5;7
7647,12,73,4,1;0
7648,3,77,4,10;5
7649,14,61,0,5;7
7650,12,56,4,1;0
7651,14,66,0,5;7
7652,3,75,4,10;5
7653,6,69,9,1;4
7654,3,51,4,10;5
7655,12,56,4,1;0
7656,3,76,4,10;5
7657,14,75,0,5;7
7658,14,57,0,5;7
7659,9,79,9,10;0
7660,9,69,9,10;0
7661,12,75,4,1;0
7662,12,65,4,1;0
7663,6,73,9,1;4
7664,9,65,9,10;0
7665,12,76,4,1;0
7666,9,57,9,10;0
7667,6,64,9,1;4
7668,6,51,9,1;4
7669,12,66,4,1;0
7670,6,56,9,1;4
7671,14,79,0,5;7
7672,1,61,0,1;5
7673,6,60,9,1;4
7674,6,71,9,1;4
7675,6,79,9,1;4
7676,14,78,0,5;7
7677,3,55,4,10;5
7678,3,51,4,10;5
7679,3,51,4,10;5
7680,6,66,9,1;4
7681,1,53,0,1;5
7682,14,72,0,5;7
7683,1,66,0,1;5
7684,14,55,0,5;7
7685,6,54,9,1;4
7686,3,59,4,10;5
7687,3,65,4,10;5
7688,6,79,9,1;4
7689,3,71,4,10;5
7690,1,76,0,1;5
7691,14,68,0,5;7
7692,9,53,9,10;0
7693,9,60,9,10;0
7694,14,62,0,5;7
7695,9,66,9,10;0
7696,6,75,9,1;4
7697,14,79,0,5;7
7698,1,72,0,1;5
7699,3,69,4,10;5
7700,1,65,0,1;5
7701,3,66,4,10;5
7702,14,69,0,5;7
7703,1,50,0,1;5
7704,3,76,4,10;5
7705,9,53,9,10;0
7706,12,60,4,1;0
7707,12,78,4,1;0
7708,12,60,4,1;0
7709,3,59,4,10;5
7710,12,58,4,1;0
7711,9,78,9,10;0
7712,3,66,4,10;5
7713,1,71,0,1;5
7714,1,75,0,1;5
7715,12,56,4,1;0
7716,6,58,9,1;4
7717,14,61,0,5;7
7718,6,53,9,1;4
7719,1,77,0,1;5
7720,12,56,4,1;0
7721,14,57,0,5;7
7722,14,74,0,5;7
7723,3,70,4,10;5
7724,9,79,9,10;0
7725,12,56,4,1;0
7726,14,78,0,5;7
7727,3,68,4,10;5
7728,12,74,4,1;0
7729,9,56,9,10;0
7730,14,65,0,5;7
7731,12,62,4,1;0
7732,3,56,4,10;5
7733,9,64,9,10;0
7734,6,51,9,1;4
7735,9,79,9,10;0
7736,1,76,0,1;5
7737,1,59,0,1;5
7738,1,64,0,1;5
7739,6,73,9,1;4
7740,6,54,9,1;4
7741,6,59,9,1;4
7742,1,54,0,1;5
7743,14,63,0,5;7
7744,1,74,0,1;5
7745,6,77,9,1;4
7746,12,55,4,1;0
7747,6,78,9,1;4
7748,12,65,4,1;0
7749,9,79,9,10;0
7750,3,72,4,10;5
7751,3,51,4,10;5
7752,12,60,4,1;0
7753,12,66,4,1;0
7754,14,71,0,5;7
7755,3,50,4,10;5
7756,14,65,0,5;7
7757,14,63,0,5;7
7758,1,69,0,1;5
7759,12,71,4,1;0
7760,14,58,0,5;7
7761,1,67,0,1;5
7762,12,56,4,1;0
7763,6,74,9,1;4
7764,12,70,4,1;0
7765,9,51,9,10;0
7766,12,50,4,1;0
7767,9,76,9,10;0
7768,3,72,4,10;5
7769,1,50,0,1;5
7770,6,70,9,1;4
7771,3,69,4,10;5
7772,9,60,9,10;0
7773,6,59,9,1;4
7774,12,74,4,1;0
7775,9,75,9,10;0
7776,9,61,9,10;0
7777,6,50,9,1;4
7778,9,59,9,10;0
7779,12,65,4,1;0
7780,9,69,9,10;0
7781,3,66,4,10;5
7782,9,68,9,10;0
7783,1,72,0,1;5
7784,3,69,4,10;5
7785,1,58,0,1;5
7786,3,54,4,10;5
7787,6,70,9,1;4
7788,14,74,0,5;7
7789,14,76,0,5;7
7790,12,59,4,1;0
7791,14,68,0,5;7
7792,6,55,9,1;4
7793,1,78,0,1;5
7794,3,78,4,10;5
7795,6,55,9,1;4
7796,6,78,9,1;4
7797,3,79,4,10;5
7798,1,65,0,1;5
7799,3,61,4,10;5
7800,12,66,4,1;0
7801,3,50,4,10;5
7802,12,51,4,1;0
7803,12,75,4,1;0
7804,12,67,4,1;0
7805,12,55,4,1;0
7806,3,56,4,10;5
7807,14,54,0,5;7
7808,12,64,4,1;0
7809,14,76,0,5;7
7810,3,68,4,10;5
7811,6,56,9,1;4
7812,14,63,0,5;7
7813,1,74,0,1;5
7814,1,69,0,1;5
7815,3,75,4,10;5
7816,12,54,4,1;0
7817,6,73,9,1;4
7818,6,72,9,1;4
7819,9,76,9,10;0
7820,1,59,0,1;5
7821,9,50,9,10;0
7822,1,65,0,1;5
7823,12,71,4,1;0
7824,3,75,4,10;5
7825,3,64,4,10;5
7826,14,56,0,5;7
7827,3,63,4,10;5
7828,12,51,4,1;0
7829,14,75,0,5;7
7830,3,75,4,10;5
7831,14,59,0,5;7
7832,3,79,4,10;5
7833,6,74,9,1;4
7834,9,70,9,10;0
7835,14,54,0,5;7
7836,3,69,4,10;5
7837,9,54,9,10;0
7838,3,77,4,10;5
7839,9,55,9,10;0
7840,6,65,9,1;4
7841,14,61,0,5;7
7842,14,68,0,5;7
7843,1,55,0,1;5
7844,1,57,0,1;5
7845,1,75,0,1;5
7846,12,71,4,1;0
7847,6,74,9,1;4
7848,9,51,9,10;0
7849,6,66,9,1;4
7850,6,68,9,1;4
7851,14,78,0,5;7
7852,9,65,9,10;0
7853,6,68,9,1;4
7854,14,60,0,5;7
7855,14,50,0,5;7
7856,1,56,0,1;5
7857,6,64,9,1;4
7858,3,75,4,10;5
7859,9,79,9,10;0
7860,9,59,9,10;0
7861,14,54,0,5;7
7862,3,56,4,10;5
7863,1,79,0,1;5
7864,12,59,4,1;0
7865,12,72,4,1;0
7866,12,68,4,1;0
7867,6,77,9,1;4
7868,14,53,0,5;7
7869,6,65,9,1;4
7870,6,79,9,1;4
7871,3,74,4,10;5
7872,9,54,9,10;0
7873,14,66,0,5;7
7874,9,67,9,10;0
7875,12,57,4,1;0
7876,12,64,4,1;0
7877,12,71,4,1;0
7878,3,50,4,10;5
7879,12,72,4,1;0
7880,12,63,4,1;0
7881,3,59,4,10;5
7882,6,56,9,1;4
7883,9,69,9,10;0
7884,12,61,4,1;0
7885,12,80,4,1;0
7886,14,52,0,5;7
7887,1,65,0,1;5
7888,1,52,0,1;5
7889,6,70,9,1;4
7890,1,61,0,1;5
7891,14,68,0,5;7
7892,3,63,4,10;5
7893,6,65,9,1;4
7894,12,67,4,1;0
7895,3,79,4,10;5
7896,14,63,0,5;7
7897,1,56,0,1;5
7898,3,61,4,10;5
7899,14,68,0,5;7
7900,12,66,4,1;0
7901,6,55,9,1;4
7902,6,80,9,1;4
7903,3,71,4,10;5
7904,14,63,0,5;7
7905,3,69,4,10;5
7906,6,75,9,1;4
7907,1,73,0,1;5
7908,9,50,9,10;0
7909,6,71,9,1;4
7910,3,61,4,10;5
7911,14,64,0,5;7
7912,6,60,9,1;4
7913,9,74,9,10;0
7914,12,79,4,1;0
7915,6,56,9,1;4
7916,3,56,4,10;5
7917,6,64,9,1;4
7918,9,64,9,10;0
7919,14,58,0,5;7
7920,6,65,9,1;4
7921,14,64,0,5;7
7922,3,72,4,10;5
7923,12,51,4,1;0
7924,6,59,9,1;4
7925,3,76,4,10;5
7926,12,76,4,1;0
7927,1,71,0,1;5
7928,6,51,9,1;4
7929,14,77,0,5;7
7930,14,64,0,5;7
7931,1,68,0,1;5
7932,3,65,4,10;5
7933,14,50,0,5;7
7934,3,72,4,10;5
7935,12,57,4,1;0
7936,3,72,4,10;5
7937,3,51,4,10;5
7938,6,79,9,1;4
7939,6,67,9,1;4
7940,12,62,4,1;0
7941,14,72,0,5;7
7942,3,69,4,10;5
7943,1,62,0,1;5
7944,9,72,9,10;0
7945,14,71,0,5;7
7946,14,51,0,5;7
7947,9,56,9,10;0
7948,3,74,4,10;5
7949,1,59,0,1;5
7950,14,62,0,5;7
7951,1,50,0,1;5
7952,14,57,0,5;7
7953,14,72,0,5;7
7954,12,65,4,1;0
7955,3,61,4,10;5
7956,1,53,0,1;5
7957,6,51,9,1;4
7958,9,72,9,10;0
7959,6,74,9,1;4
7960,9,79,9,10;0
7961,12,50,4,1;0
7962,1,53,0,1;5
7963,12,53,4,1;0
7964,12,56,4,1;0
7965,6,69,9,1;4
7966,14,50,0,5;7
7967,12,71,4,1;0
7968,14,75,0,5;7
7969,3,66,4,10;5
7970,6,74,9,1;4
7971,14,67,0,5;7
7972,6,61,9,1;4
7973,3,56,4,10;5
7974,3,74,4,10;5
7975,14,59,0,5;7
7976,1,58,0,1;5
7977,1,74,0,1;5
7978,9,69,9,10;0
7979,1,60,0,1;5
7980,6,63,9,1;4
7981,6,69,9,1;4
7982,14,50,0,5;7
7983,14,66,0,5;7
7984,6,76,9,1;4
7985,9,52,9,10;0
7986,9,67,9,10;0
7987,9,75,9,10;0
7988,12,77,4,1;0
7989,3,61,4,10;5
7990,3,70,4,10;5
7991,1,51,0,1;5
7992,14,77,0,5;7
7993,6,68,9,1;4
7994,6,67,9,1;4
7995,3,75,4,10;5
7996,14,63,0,5;7
7997,12,80,4,1;0
7998,6,71,9,1;4
7999,6,55,9,1;4
8000,3,63,4,10;5
8001,3,70,4,10;5
8002,1,77,0,1;5
8003,6,57,9,1;4
8004,3,59,4,10;5
8005,6,68,9,1;4
8006,14,51,0,5;7
8007,14,66,0,5;7
8008,12,60,4,1;0
8009,9,65,9,10;0
8010,3,74,4,10;5
8011,1,80,0,1;5
8012,14,55,0,5;7
8013,3,66,4,10;5
8014,6,70,9,1;4
8015,3,55,4,10;5
8016,1,58,0,1;5
8017,3,58,4,10;5
8018,3,74,4,10;5
8019,1,76,0,1;5
8020,6,64,9,1;4
8021,1,58,0,1;5
8022,6,69,9,1;4
8023,6,75,9,1;4
8024,14,53,0,5;7
8025,9,78,9,10;0
8026,6,66,9,1;4
8027,3,50,4,10;5
8028,9,77,9,10;0
8029,3,69,4,10;5
8030,6,67,9,1;4
8031,9,69,9,10;0
8032,3,78,4,10;5
8033,1,57,0,1;5
8034,6,54,9,1;4
8035,6,61,9,1;4
8036,6,76,9,1;4
8037,14,53,0,5;7
8038,1,64,0,1;5
8039,6,78,9,1;4
8040,9,50,9,10;0
8041,14,55,0,5;7
8042,12,50,4,1;0
8043,12,71,4,1;0
8044,3,68,4,10;5
8045,9,64,9,10;0
8046,12,75,4,1;0
8047,6,70,9,1;4
8048,1,66,0,1;5
8049,14,76,0,5;7
8050,12,53,4,1;0
8051,12,77,4,1;0
8052,9,55,9,10;0
8053,3,66,4,10;5
8054,1,66,0,1;5
8055,12,69,4,1;0
8056,12,60,4,1;0
8057,1,73,0,1;5
8058,12,80,4,1;0
8059,9,78,9,10;0
8060,6,67,9,1;4
8061,14,75,0,5;7
8062,3,64,4,10;5
8063,14,60,0,5;7
8064,6,78,9,1;4
8065,12,72,4,1;0
8066,1,79,0,1;5
8067,12,79,4,1;0
8068,6,80,9,1;4
8069,1,80,0,1;5
8070,9,74,9,10;0
8071,6,54,9,1;4
8072,12,64,4,1;0
8073,12,61,4,1;0
8074,6,80,9,1;4
8075,6,79,9,1;4
8076,12,77,4,1;0
8077,14,80,0,5;7
8078,14,63,0,5;7
8079,14,67,0,5;7
8080,9,69,9,10;0
8081,6,57,9,1;4
8082,12,80,4,1;0
8083,14,71,0,5;7
8084,1,60,0,1;5
8085,6,51,9,1;4
8086,14,56,0,5;7
8087,9,78,9,10;0
8088,3,65,4,10;5
8089,14,70,0,5;7
8090,14,58,0,5;7
8091,1,59,0,1;5
8092,12,68,4,1;0
8093,6,80,9,1;4
8094,14,69,0,5;7
8095,3,76,4,10;5
8096,6,67,9,1;4
8097,12,50,4,1;0
8098,12,71,4,1;0
8099,9,53,9,10;0
8100,3,70,4,10;5
8101,1,62,0,1;5
8102,9,69,9,10;0
8103,12,75,4,1;0
8104,3,57,4,10;5
8105,1,52,0,1;5
8106,1,51,0,1;5
8107,1,74,0,1;5
8108,6,54,9,1;4
8109,14,75,0,5;7
8110,12,62,4,1;0
8111,14,57,0,5;7
8112,14,69,0,5;7
8113,6,80,9,1;4
8114,14,61,0,5;7
8115,14,57,0,5;7
8116,6,76,9,1;4
8117,14,51,0,5;7
8118,6,75,9,1;4
8119,1,71,0,1;5
8120,1,76,0,1;5
8121,3,56,4,10;5
8122,12,74,4,1;0
8123,6,51,9,1;4
8124,1,75,0,1;5
8125,3,71,4,10;5
8126,9,68,9,10;0
8127,9,61,9,10;0
8128,1,62,0,1;5
8129,9,77,9,10;0
8130,1,66,0,1;5
8131,14,65,0,5;7
8132,6,71,9,1;4
8133,12,50,4,1;0
8134,9,53,9,10;0
8135,6,53,9,1;4
8136,12,72,4,1;0
8137,1,50,0,1;5
8138,1,67,0,1;5
8139,1,77,0,1;5
8140,6,63,9,1;4
8141,14,67,0,5;7
8142,14,60,0,5;7
8143,9,71,9,10;0
8144,3,80,4,10;5
8145,3,80,4,10;5
8146,3,72,4,10;5
8147,6,66,9,1;4
8148,3,71,4,10;5
8149,14,56,0,5;7
8150,12,80,4,1;0
8151,3,71,4,10;5
8152,3,74,4,10;5
8153,12,57,4,1;0
8154,1,62,0,1;5
8155,3,56,4,10;5
8156,1,79,0,1;5
8157,9,52,9,10;0
8158,1,60,0,1;5
8159,12,64,4,1;0
8160,9,59,9,10;0
8161,3,57,4,10;5
8162,3,64,4,10;5
8163,12,60,4,1;0
8164,6,61,9,1;4
8165,14,57,0,5;7
8166,9,79,9,10;0
8167,12,59,4,1;0
8168,9,62,9,10;0
8169,1,58,0,1;5
8170,14,54,0,5;7
8171,3,63,4,10;5
8172,14,69,0,5;7
8173,3,52,4,10;5
8174,9,61,9,10;0
8175,12,73,4,1;0
8176,1,55,0,1;5
8177,9,75,9,10;0
8178,6,52,9,1;4
8179,1,74,0,1;5
8180,6,52,9,1;4
8181,12,57,4,1;0
8182,1,51,0,1;5
8183,3,54,4,10;5
8184,9,78,9,10;0
8185,1,77,0,1;5
8186,1,69,0,1;5
8187,12,76,4,1;0
8188,1,61,0,1;5
8189,14,57,0,5;7
8190,12,55,4,1;0
8191,14,80,0,5;7
8192,12,50,4,1;0
8193,6,77,9,1;4
8194,1,60,0,1;5
8195,14,80,0,5;7
8196,9,70,9,10;0
8197,9,68,9,10;0
8198,14,67,0,5;7
8199,9,57,9,10;0
8200,14,71,0,5;7
8201,9,72,9,10;0
8202,3,62,4,10;5
8203,3,71,4,10;5
8204,6,74,9,1;4
8205,6,62,9,1;4
8206,9,53,9,10;0
8207,3,71,4,10;5
8208,9,51,9,10;0
8209,9,57,9,10;0
8210,1,71,0,1;5
8211,14,62,0,5;7
8212,3,65,4,10;5
8213,1,64,0,1;5
8214,9,59,9,10;0
8215,12,52,4,1;0
8216,12,71,4,1;0
8217,12,65,4,1;0
8218,1,51,0,1;5
8219,3,53,4,10;5
8220,12,72,4,1;0
8221,1,68,0,1;5
8222,9,76,9,10;0
8223,3,80,4,10;5
8224,9,56,9,10;0
8225,1,62,0,1;5
8226,9,71,9,10;0
8227,12,66,4,1;0
8228,14,56,0,5;7
8229,6,78,9,1;4
8230,1,50,0,1;5
8231,6,71,9,1;4
8232,3,63,4,10;5
8233,6,52,9,1;4
8234,6,72,9,1;4
8235,6,61,9,1;4
8236,6,72,9,1;4
8237,3,77,4,10;5
8238,1,70,0,1;5
8239,14,66,0,5;7
8240,1,63,0,1;5
8241,9,56,9,10;0
8242,6,50,9,1;4
8243,9,63,9,10;0
8244,1,70,0,1;5
8245,6,61,9,1;4
8246,1,51,0,1;5
8247,1,61,0,1;5
8248,12,53,4,1;0
8249,12,74,4,1;0
8250,9,69,9,10;0
8251,6,53,9,1;4
8252,6,58,9,1;4
8253,3,72,4,10;5
8254,14,75,0,5;7
8255,6,53,9,1;4
8256,6,67,9,1;4
8257,14,59,0,5;7
8258,14,51,0,5;7
8259,14,63,0,5;7
8260,12,66,4,1;0
8261,9,80,9,10;0
8262,12,78,4,1;0
8263,6,71,9,1;4
8264,6,60,9,1;4
8265,6,64,9,1;4
8266,6,62,9,1;4
8267,6,65,9,1;4
8268,3,64,4,10;5
8269,6,68,9,1;4
8270,1,55,0,1;5
8271,14,59,0,5;7
8272,6,60,9,1;4
8273,9,76,9,10;0
8274,9,50,9,10;0
8275,12,56,4,1;0
8276,6,55,9,1;4
8277,3,68,4,10;5
8278,3,64,4,10;5
8279,12,75,4,1;0
8280,1,64,0,1;5
8281,3,71,4,10;5
8282,3,73,4,10;5
8283,14,66,0,5;7
8284,14,67,0,5;7
8285,6,60,9,1;4
8286,9,55,9,10;0
8287,9,53,9,10;0
8288,9,75,9,10;0
8289,3,62,4,10;5
8290,12,74,4,1;0
8291,12,51,4,1;0
8292,3,75,4,10;5
8293,12,77,4,1;0
8294,14,53,0,5;7
8295,3,50,4,10;5
8296,14,70,0,5;7
8297,6,51,9,1;4
8298,12,70,4,1;0
8299,9,70,9,10;0
8300,1,73,0,1;5
8301,3,53,4,10;5
8302,6,74,9,1;4
8303,14,73,0,5;7
8304,12,69,4,1;0
8305,12,59,4,1;0
8306,1,77,0,1;5
8307,1,51,0,1;5
8308,14,53,0,5;7
8309,1,73,0,1;5
8310,1,57,0,1;5
8311,14,58,0,5;7
8312,1,71,0,1;5
8313,3,64,4,10;5
8314,14,79,0,5;7
8315,12,65,4,1;0
8316,14,68,0,5;7
8317,1,59,0,1;5
8318,14,60,0,5;7
8319,9,57,9,10;0
8320,12,62,4,1;0
8321,1,54,0,1;5
8322,3,73,4,10;5
8323,1,71,0,1;5
8324,1,78,0,1;5
8325,1,60,0,1;5
8326,9,50,9,10;0
8327,3,70,4,10;5
8328,1,55,0,1;5
8329,12,69,4,1;0
8330,6,64,9,1;4
8331,12,54,4,1;0
8332,9,55,9,10;0
8333,1,76,0,1;5
8334,6,60,9,1;4
8335,1,58,0,1;5
8336,1,69,0,1;5
8337,1,53,0,1;5
8338,14,56,0,5;7
8339,6,78,9,1;4
8340,9,66,9,10;0
8341,14,75,0,5;7
8342,6,67,9,1;4
8343,3,55,4,10;5
8344,14,73,0,5;7
8345,9,63,9,10;0
8346,14,75,0,5;7
8347,3,61,4,10;5
8348,12,57,4,1;0
8349,6,65,9,1;4
8350,9,67,9,10;0
8351,3,79,4,10;5
8352,12,55,4,1;0
8353,12,64,4,1;0
8354,12,55,4,1;0
8355,3,63,4,10;5
8356,12,53,4,1;0
8357,14,58,0,5;7
8358,12,53,4,1;0
8359,9,54,9,10;0
8360,3,64,4,10;5
8361,14,66,0,5;7
8362,9,63,9,10;0
8363,1,50,0,1;5
8364,14,54,0,5;7
8365,14,61,0,5;7
8366,9,76,9,10;0
8367,14,70,0,5;7
8368,6,60,9,1;4
8369,9,58,9,10;0
8370,1,53,0,1;5
8371,6,52,9,1;4
8372,6,74,9,1;4
8373,6,72,9,1;4
8374,3,56,4,10;5
8375,12,58,4,1;0
8376,12,76,4,1;0
8377,3,54,4,10;5
8378,1,58,0,1;5
8379,6,77,9,1;4
8380,9,67,9,10;0
8381,3,54,4,10;5
8382,1,70,0,1;5
8383,1,63,0,1;5
8384,9,55,9,10;0
8385,1,75,0,1;5
8386,14,67,0,5;7
8387,6,68,9,1;4
8388,3,69,4,10;5
8389,14,76,0,5;7
8390,1,57,0,1;5
8391,9,55,9,10;0
8392,9,72,9,10;0
8393,9,57,9,10;0
8394,6,79,9,1;4
8395,12,77,4,1;0
8396,1,51,0,1;5
8397,3,79,4,10;5
8398,14,65,0,5;7
8399,3,61,4,10;5
8400,3,60,4,10;5
8401,12,73,4,1;0
8402,6,58,9,1;4
8403,1,75,0,1;5
8404,1,53,0,1;5
8405,3,66,4,10;5
8406,1,76,0,1;5
8407,1,53,0,1;5
8408,12,53,4,1;0
8409,14,69,0,5;7
8410,1,73,0,1;5
8411,3,58,4,10;5
8412,9,76,9,10;0
8413,1,66,0,1;5
8414,6,70,9,1;4
8415,9,75,9,10;0
8416,14,59,0,5;7
8417,12,80,4,1;0
8418,6,60,9,1;4
